iter	RMSE
0	19.31691358
1	18.33483159
2	17.19888137
3	16.04750298
4	15.16657022
5	14.15375241
6	13.24605958
7	12.54691068
8	11.80495849
9	11.06329698
10	10.25574517
11	9.621075843
12	9.028387224
13	8.427761371
14	7.954662386
15	7.485241817
16	7.091564098
17	6.751704844
18	6.344627715
19	5.992907712
20	5.699148905
21	5.43033607
22	5.135862945
23	4.807547974
24	4.553628211
25	4.312271349
26	4.093750858
27	3.897937004
28	3.733911836
29	3.592042633
30	3.450758853
31	3.30805591
32	3.164385456
33	3.009618014
34	2.89617869
35	2.787482714
36	2.666991749
37	2.572974956
38	2.4838334
39	2.395800563
40	2.332800139
41	2.244639493
42	2.166194204
43	2.087941502
44	2.040030857
45	1.984586476
46	1.93129737
47	1.888102835
48	1.840985245
49	1.784318257
50	1.732287689
51	1.678865056
52	1.626260743
53	1.594757414
54	1.561609911
55	1.524168735
56	1.48555466
57	1.465285509
58	1.437305929
59	1.402403435
60	1.360537913
61	1.343081153
62	1.312923785
63	1.28097828
64	1.267087942
65	1.227720734
66	1.21450058
67	1.200512909
68	1.188304971
69	1.173418515
70	1.140378499
71	1.126176209
72	1.096202522
73	1.086037858
74	1.075650634
75	1.064899124
76	1.038909853
77	1.028780402
78	1.021106793
79	1.012161819
80	1.002279226
81	0.9943214069
82	0.9866328458
83	0.9654220008
84	0.9364692518
85	0.9289320561
86	0.9214797932
87	0.9106478374
88	0.9046985643
89	0.8980925804
90	0.8770574587
91	0.8523518964
92	0.8455233146
93	0.82270783
94	0.816940517
95	0.7974159086
96	0.778015716
97	0.7615117023
98	0.7512908499
99	0.7461170665
100	0.7393875688
101	0.7351245211
102	0.7295186893
103	0.7259705272
104	0.7217932005
105	0.707426953
106	0.7030877632
107	0.6912642244
108	0.6772067457
109	0.6728435318
110	0.6695622381
111	0.657624143
112	0.6552923957
113	0.6410115177
114	0.6371995733
115	0.6227489937
116	0.6115120942
117	0.6069373249
118	0.6005911577
119	0.5886710303
120	0.5862924695
121	0.583825714
122	0.5806276025
123	0.5760586563
124	0.5729936683
125	0.5714264789
126	0.5694610684
127	0.5591632554
128	0.5552931657
129	0.5451032476
130	0.5409880482
131	0.5318649146
132	0.5293107061
133	0.5267871931
134	0.5229711929
135	0.5139724112
136	0.5105612714
137	0.5007304478
138	0.4921551827
139	0.4845575817
140	0.4815366954
141	0.4797114896
142	0.478682791
143	0.4749375936
144	0.4715979522
145	0.4656849873
146	0.4594298649
147	0.4513089046
148	0.4443175655
149	0.441213559
150	0.4343373535
151	0.4242640814
152	0.4156952281
153	0.4100009336
154	0.4067346532
155	0.4009083786
156	0.3984750369
157	0.3900101207
158	0.3859003703
159	0.3802151175
160	0.3761394436
161	0.3731590192
162	0.3693000731
163	0.3650981461
164	0.3598215653
165	0.3538568083
166	0.3496412886
167	0.3467389154
168	0.3431821369
169	0.3404597529
170	0.3369375542
171	0.3332441252
172	0.3300482817
173	0.3279184132
174	0.3235647399
175	0.3202042315
176	0.3189751371
177	0.3132367756
178	0.308929727
179	0.3076354703
180	0.3029287881
181	0.3007432607
182	0.2982847687
183	0.295940005
184	0.2948080921
185	0.2901377795
186	0.2890109745
187	0.2862943993
188	0.2826476692
189	0.2794000926
190	0.2747702361
191	0.2737614324
192	0.2699431878
193	0.268322681
194	0.2668205566
195	0.2657381398
196	0.2634747864
197	0.2627339597
198	0.2615456409
199	0.2586969788
