iter	Passed	Remaining
0	42	8473
1	84	8400
2	133	8798
3	182	8925
4	230	9004
5	278	9009
6	327	9031
7	375	9009
8	423	8983
9	465	8851
10	513	8831
11	562	8812
12	608	8759
13	660	8775
14	708	8742
15	757	8710
16	805	8674
17	852	8624
18	899	8573
19	945	8510
20	991	8455
21	1038	8399
22	1084	8349
23	1131	8298
24	1178	8251
25	1225	8203
26	1271	8148
27	1318	8098
28	1365	8053
29	1412	8003
30	1461	7965
31	1508	7920
32	1555	7871
33	1603	7830
34	1652	7790
35	1700	7748
36	1761	7761
37	1809	7714
38	1857	7668
39	1905	7620
40	1953	7575
41	1989	7483
42	2038	7442
43	2086	7397
44	2132	7345
45	2178	7293
46	2225	7244
47	2271	7192
48	2317	7143
49	2363	7090
50	2411	7045
51	2458	6996
52	2504	6946
53	2551	6897
54	2598	6850
55	2647	6806
56	2695	6763
57	2742	6715
58	2790	6669
59	2836	6618
60	2883	6569
61	2918	6496
62	2965	6448
63	3012	6400
64	3058	6352
65	3109	6312
66	3132	6218
67	3178	6170
68	3207	6089
69	3254	6044
70	3300	5995
71	3348	5952
72	3395	5907
73	3425	5832
74	3473	5789
75	3520	5744
76	3568	5700
77	3628	5674
78	3659	5605
79	3706	5560
80	3758	5521
81	3805	5476
82	3839	5412
83	3886	5366
84	3931	5319
85	3978	5273
86	4020	5221
87	4071	5181
88	4118	5136
89	4165	5091
90	4211	5044
91	4261	5002
92	4307	4955
93	4353	4909
94	4400	4863
95	4447	4818
96	4492	4770
97	4540	4725
98	4586	4679
99	4631	4631
100	4679	4586
101	4726	4541
102	4767	4489
103	4814	4444
104	4860	4397
105	4907	4351
106	4957	4309
107	5004	4263
108	5050	4216
109	5096	4169
110	5146	4126
111	5194	4081
112	5228	4025
113	5273	3978
114	5318	3931
115	5365	3885
116	5411	3838
117	5457	3792
118	5503	3746
119	5549	3699
120	5596	3654
121	5643	3608
122	5690	3562
123	5737	3516
124	5783	3469
125	5830	3424
126	5877	3378
127	5924	3332
128	5971	3286
129	6019	3241
130	6067	3195
131	6115	3150
132	6163	3104
133	6211	3059
134	6259	3013
135	6308	2968
136	6355	2922
137	6404	2877
138	6452	2831
139	6500	2786
140	6548	2740
141	6596	2694
142	6644	2648
143	6692	2602
144	6744	2558
145	6793	2512
146	6841	2466
147	6889	2420
148	6938	2374
149	6986	2328
150	7038	2284
151	7087	2238
152	7136	2192
153	7183	2145
154	7230	2099
155	7277	2052
156	7324	2005
157	7372	1959
158	7420	1913
159	7467	1866
160	7515	1820
161	7562	1773
162	7609	1727
163	7657	1680
164	7704	1634
165	7754	1588
166	7802	1541
167	7850	1495
168	7898	1448
169	7944	1401
170	7991	1355
171	8037	1308
172	8082	1261
173	8132	1215
174	8182	1168
175	8237	1123
176	8289	1077
177	8338	1030
178	8385	983
179	8435	937
180	8483	890
181	8532	843
182	8581	797
183	8629	750
184	8678	703
185	8726	656
186	8773	609
187	8820	563
188	8866	516
189	8912	469
190	8958	422
191	9004	375
192	9051	328
193	9099	281
194	9146	234
195	9194	187
196	9242	140
197	9289	93
198	9337	46
199	9385	0
